,text,noun,Nletters,frequency,synsets,labels
91,absolutely,0,10,84856,2,7.084934
92,absoluteness,1,12,23,2,12.68
93,absolution,1,10,670,2,11.71
94,absolve,0,7,688,2,12.9
95,absolver,1,8,6,1,13.6
96,absorb,0,6,2043,9,8.83
97,absorbent,0,9,179,2,10.32
98,absorber,1,8,65,1,10.33
99,absorption,1,10,315,6,10.94
100,abstain,0,7,432,2,12.95
101,abstention,1,10,96,1,15.19
102,abstinence,1,10,685,2,12.74
103,abstract,0,8,1640,9,11.47
104,abstraction,1,11,166,6,13.65
105,abstractionist,1,14,4,2,14.72
106,abstruse,0,8,30,1,14.6
107,absurd,0,6,8303,3,10.5
108,absurdist,1,9,26,1,13
109,absurdity,1,11,405,2,13.21
110,abundance,1,9,1294,3,10.45
111,abundant,0,8,950,1,12.84
112,abuse,1,5,9756,7,8.61
113,abuser,1,6,371,1,9.94
114,abusive,0,7,1641,2,9.58
115,abusiveness,1,11,3,1,10.47
116,abut,0,4,165,1,13.11
117,abutment,1,8,29,2,15.33
118,abuzz,1,5,112,1,13
119,abysmal,0,7,209,2,13.78
120,abyss,1,5,1951,2,11
121,abyssal,1,7,42,2,17.27
122,ac,0,2,1846,2,10.75
123,acacia,1,6,259,1,14.25
124,academe,1,7,23,1,13.27
125,academia,1,8,279,1,13.74
126,academic,0,8,3150,4,9.74
127,academician,1,11,125,3,15.21
128,academy,1,9,10509,4,9.05
129,acanthus,0,8,13,1,15.17
130,accede,0,6,118,3,14.31
131,accelerant,1,10,508,1,12.84
132,accelerate,0,10,1231,2,10.74
133,accelerated,0,11,1074,3,10.11
134,acceleration,1,12,1030,3,9.84
135,accelerator,1,11,1309,4,10.27
136,accent,1,6,13993,7,8.6
137,accentuate,0,10,205,2,13.24
138,accept,0,6,53291,11,6.74
139,acceptable,0,10,3978,4,9.84
140,acceptance,1,10,2126,7,8.56
141,acceptant,1,9,1,1,11.89
142,access,1,6,26937,8,9.1
143,accessibility,1,13,70,2,11.05
144,accessible,0,10,1119,4,9.94
145,accession,1,9,104,7,12.25
146,accessory,1,11,2108,5,11.15
147,accessorize,0,11,115,1,11.39
148,accident,1,8,61671,2,5.3
149,accidental,0,10,2461,2,6.75
150,acclaim,1,7,277,3,12.11
151,acclamation,1,11,34,1,14
152,acclimate,0,9,103,1,14.24
153,acclimatization,1,15,16,1,16.12
154,acclimatize,0,11,30,1,14
155,accolade,1,8,84,1,12.43
156,accommodate,0,11,1567,7,9.9
157,accommodation,1,13,1289,6,9.58
158,accommodative,0,13,6,3,15.18
159,accompany,0,11,6092,4,10.75
160,accompaniment,1,13,271,4,11.18
161,accompanist,1,11,102,1,12.78
162,accomplice,1,10,4431,1,9.78
163,accomplish,0,10,4521,2,7.84
164,accomplishment,1,14,1205,2,9
165,accord,1,6,1508,6,9.65
166,accordance,0,10,1282,2,11.7527
167,according,0,9,42026,4,8.44903
168,accordion,1,9,1229,1,8.61
169,accost,0,6,101,2,13.37
170,account,1,7,34088,14,8.26
171,accountability,1,14,481,1,12.16
172,accountable,0,11,1631,1,11.7
173,accountancy,1,11,174,1,14.8
174,accountant,1,10,4936,1,11.67
175,accounting,1,10,3172,9,12.05
176,accoutrement,1,12,23,1,13.87
177,accreditation,1,13,115,1,15.53
178,accredited,0,10,195,4,13.89
179,accrete,0,7,13,2,14
180,accrual,1,7,13,1,15
181,accrue,0,6,76,2,14.11
182,accumulate,0,10,589,2,12.3
183,accumulation,1,12,365,4,10.5
184,accumulative,0,12,20,2,12.5
185,accumulator,1,11,118,3,13.94
186,accuracy,1,8,1555,2,9.71
187,accurate,0,8,6435,2,9.44
188,accursed,0,8,737,2,12.71
189,accusation,1,10,2491,2,10.17
190,accusatory,0,10,62,1,11.18
191,accuse,0,6,5174,2,9.1
192,accuser,1,7,286,1,11.72
193,accustom,0,8,68,1,12
194,ace,1,3,7987,11,8.83
195,acerbic,0,7,56,2,16.62
196,acetaminophen,1,13,111,1,13.47
197,acetate,1,7,151,2,12.85
198,acetic,0,6,51,1,13.75
199,acetone,1,7,244,1,14.05
200,acetyl,1,6,5,1,16.31
201,acetylcholine,0,13,47,1,16.3
202,acetylene,1,9,167,1,16.88
203,acetylsalicylic,0,15,14,1,17.71
204,ache,1,4,2575,4,5.79
205,achievable,0,10,131,1,9.89
206,achieve,0,7,8816,1,8.53
207,achievement,1,11,3287,1,8.8
208,achiever,0,8,94,1,9.11
209,achiness,1,8,5,1,10.11
210,achy,0,4,182,1,8.06
211,acid,1,4,7597,5,9.6
212,acidic,0,6,325,2,11.21
213,acidity,1,7,343,3,12.78
214,acidophilus,1,11,25,1,17.4
215,acidosis,1,8,90,1,16.85
216,acknowledge,0,11,4214,6,9.11
217,acknowledgement,1,15,277,2,9.95
218,acme,1,4,289,2,9.54
219,acne,1,4,647,1,11.4
220,acolyte,1,7,134,1,13.77
221,aconitum,1,8,28,1,11
222,acorn,1,5,611,1,5.95
223,acoustic,0,8,1117,2,12.39
224,acoustical,0,10,60,1,12.9
225,acoustics,1,9,383,2,11.32
226,acquaintance,1,12,3748,3,10.48
227,acquaintanceship,1,16,32,1,14.18
228,acquiesce,0,9,102,1,14.25
229,acquiescence,1,12,48,2,13.61
230,acquiescent,0,11,9,1,14.18
231,acquire,0,7,2325,7,9.94
232,acquirer,1,8,2,4,11.79
233,acquisition,1,11,963,4,13.63
234,acquisitive,0,11,29,1,14.19
235,acquisitiveness,1,15,10,1,14.38
236,acquit,1,6,408,2,13.22
237,acquittal,1,9,558,1,12.39
238,acre,1,4,1142,3,9.8
239,acreage,1,7,167,1,13.13
240,acrid,0,5,66,2,14.07
241,acrimonious,0,11,79,1,16.3
242,acrimony,1,8,55,1,14.75
243,acrobat,1,7,488,1,8.05
244,acrobatic,0,9,193,1,9.38
245,acrobatics,1,10,217,2,9
246,acronym,1,7,389,1,11.56
247,acrophobia,1,10,75,1,14.38
248,acropolis,1,9,240,1,15.4
249,across,0,6,67595,2,6.63734
250,acrylic,0,7,305,4,11.56
251,act,0,3,79020,15,6.42
252,actinic,0,7,5,1,15.62
253,action,1,6,43798,12,6.67
254,actionable,0,10,254,1,12.5
255,activate,0,8,3912,5,11.11
256,activation,1,10,713,3,9.78
257,activator,1,9,112,1,11.5
258,active,0,6,10024,17,6.53
259,activism,1,8,252,1,11.89
260,activist,1,8,1317,2,11.8
261,activity,1,10,11555,6,6.47
262,actor,1,5,17318,2,7.17
263,actress,1,7,11417,1,6.17
264,actual,0,6,16107,5,6.94
265,actuality,1,11,261,1,12.38
266,actualization,1,13,19,1,13.84
267,actualize,0,9,27,2,13.61
268,actually,0,8,279595,4,7.330045
269,actuarial,0,9,71,1,15.85
270,actuary,1,9,86,1,17.27
271,actuation,1,9,7,1,14.69
272,actuator,1,8,59,1,13.71
273,acuity,1,6,148,2,13.88
274,acumen,1,6,241,2,14.44
275,acupressure,1,11,71,1,14.44
276,acupuncture,1,11,635,1,11.79
277,acupuncturist,1,13,145,1,14.61
278,acute,0,5,2228,7,11.6
279,acuteness,1,9,15,3,12.95
280,acyclovir,1,9,22,1,12.57
281,ad,1,2,11131,2,8.22
282,adage,1,5,250,1,16.21
283,adagio,1,6,106,4,12.62
284,adamant,0,7,1169,2,14.29
285,adamantine,0,10,17,3,15.91
286,adapt,0,5,2905,2,9
287,adaptability,1,12,173,1,11.65
288,adaptable,0,9,393,1,9.37
289,adaptation,1,10,933,3,11.39
290,adapter,1,7,126,2,11.79
291,adaption,1,8,35,1,12.4
292,adaptive,0,8,198,1,11.33
293,adaptor,1,7,64,1,10.21
294,add,0,3,27132,7,5.1
295,addendum,1,7,189,1,15.65
296,adder,1,5,227,3,12.13
297,addict,1,6,4953,3,11.17
298,addiction,1,9,3600,3,12.11
299,addictive,0,9,979,1,10.33
300,addictiveness,1,13,5,1,11.61
301,addition,0,8,6933,6,5.763466
302,additional,0,10,4672,1,9
303,additive,0,8,178,3,12.28
304,addle,0,5,14,2,13.08
305,addled,0,6,149,4,12
306,address,1,7,45332,18,5.15
307,addressee,1,9,59,1,9.95
308,adduce,0,6,9,1,13
309,adductor,1,8,12,1,14.18
310,adenoidal,0,9,8,2,15.33
311,adenoma,1,7,38,1,13.78
312,adenosine,1,9,88,1,16.29
313,adept,0,5,476,2,12.5
314,adeptness,1,9,1,1,14.37
315,adequacy,1,8,21,2,12.5
316,adequate,0,8,1674,3,10.35
317,adhere,0,6,584,6,10.78
318,adherence,1,9,119,2,12.22
319,adherent,1,8,40,2,14.17
320,adhesion,1,8,75,4,13.5
321,adhesive,1,8,553,2,9.17
322,adiabatic,0,9,17,1,18.5
323,adipose,0,7,52,1,15.7
324,adiposity,1,9,5,1,15.86
325,adjacent,0,8,972,3,11.05
326,adjective,1,9,377,4,8.6
327,adjoining,0,9,555,3,11.85
328,adjourn,0,7,680,2,12.59
329,adjournment,1,11,315,2,14.26
330,adjudge,0,7,17,1,15.2
331,adjudicate,0,10,61,2,15.25
332,adjudication,1,12,66,1,16.33
333,adjudicator,1,11,88,1,16.47
334,adjunct,1,7,129,5,13.06
335,adjure,0,6,35,2,13.1
336,adjust,0,6,4634,5,8.43
337,adjustability,1,13,2,1,12.05
338,adjustable,0,10,271,2,8.95
339,adjuster,1,8,197,1,11.28
340,adjustment,1,10,1695,5,9.74
341,adjustor,1,8,24,1,13.29
342,adjutant,1,8,523,2,13.91
343,adjuvant,0,8,10,3,14.25
344,admin,1,5,628,1,13.89
345,administer,0,10,1274,5,9.42
346,administrate,0,12,42,1,12.5
347,administration,1,14,5935,6,11.11
348,administrative,0,14,1532,1,11.5
349,administrator,1,13,1686,3,12.22
350,admirable,0,9,2159,2,11.42
351,admiral,1,7,9717,2,8.72
352,admiralty,1,9,660,2,11.41
353,admiration,1,10,1791,3,8.95
354,admire,0,6,9273,2,7.42
355,admirer,1,7,1971,3,8.78
356,admissibility,1,13,51,1,13.79
357,admissible,0,10,573,1,13.1
358,admission,1,9,3118,4,8.84
359,admit,0,5,41817,8,7.56
360,admittance,1,10,298,2,10.39
361,admixture,1,9,29,3,14.1
362,admonish,0,8,121,3,13.4
363,admonition,1,10,57,2,13.86
364,ado,1,3,1045,1,11.88
365,adobe,1,5,153,2,12.22
366,adolescence,1,11,669,2,10.42
367,adolescent,0,10,1130,5,11.05
368,adopt,0,5,4473,7,7.83
369,adoptable,0,9,8,1,9.22
370,adopter,1,7,16,1,10.16
371,adoption,1,8,3982,3,7.79
372,adoptive,0,8,644,2,9.16
373,adorability,1,11,4,1,11.76
374,adorable,0,8,7682,1,6.94
375,adorableness,1,12,12,1,8.32
376,adoration,1,9,377,3,11.8
377,adore,0,5,4752,1,7.95
378,adoring,0,7,466,3,8.53
379,adorn,0,5,540,3,11.65
380,adornment,1,9,91,2,12.32
381,adrenal,0,7,261,3,14.24
382,adrenalin,1,9,339,1,11.65
383,adrenaline,1,10,2728,1,11.63
384,adrift,0,6,822,4,11.21
385,adroit,0,6,46,1,12.75
386,adroitness,1,10,7,1,15.21
387,adulation,1,9,200,1,12.72
388,adult,1,5,14267,4,4.68
389,adulterant,1,10,3,2,12.86
390,adulterate,0,10,32,2,13.76
391,adulterer,1,9,311,3,11.63
392,adulteress,1,10,177,1,12.22
393,adulterous,0,10,228,2,11.65
394,adultery,1,8,1845,1,11.84
395,adulthood,1,9,559,2,9.95
396,advance,1,7,15126,20,8.35
397,advanced,0,8,8719,20,9.05
398,advancement,1,11,858,3,10.89
399,advantage,1,9,20711,4,9.32
400,advantageous,0,12,365,2,12.62
401,advent,1,6,465,3,10.38
402,adventure,1,9,11744,3,5.67
403,adventurer,1,10,762,2,7.79
404,adventuresome,0,13,29,1,10.38
405,adventuress,1,11,89,3,10.44
406,adventurist,1,11,7,1,8.68
407,adventurous,0,11,1417,1,10
408,adventurousness,1,15,6,1,11.81
409,adverb,1,6,68,2,8.14
410,adverbial,0,9,15,2,13.14
411,adversarial,0,11,145,1,14
412,adversary,1,11,1057,1,12.67
413,adverse,0,7,659,2,10.72
414,adversity,1,11,857,2,11.79
415,advert,1,6,693,4,14.22
416,advertise,0,9,1423,2,9.63
417,advertisement,1,13,1696,1,7.67
418,advertiser,1,10,158,1,11
419,advertising,1,11,5422,4,9.95
420,advice,1,6,34773,1,8.61
421,advisable,0,9,501,1,10.75
422,advise,0,6,7727,3,8.89
423,advisee,1,7,20,1,12.89
424,advisement,1,10,337,1,12.5
425,adviser,1,7,1387,1,10.78
426,advisor,1,7,3228,1,11.24
427,advisory,0,10,588,2,11.55
428,advocacy,1,8,229,1,14.06
429,advocate,1,8,2598,4,11.11
430,aegis,1,5,216,2,17
431,aerate,0,6,50,3,13.44
432,aeration,1,8,25,2,12.35
433,aerial,1,6,1885,4,11.5
434,aerialist,1,9,23,1,14.08
435,aerie,1,5,31,2,13
436,aero,1,4,136,1,11.4
437,aerobatics,1,10,47,1,9.53
438,aerobic,0,7,137,2,10.24
439,aerobics,1,8,688,1,11
440,aerodynamic,0,11,292,2,13.4
441,aerodynamics,1,12,250,1,11.5
442,aeronautical,0,12,154,1,14.35
443,aeronautics,1,11,218,1,12.35
444,aerosol,1,7,292,2,9.47
445,aerospace,1,9,420,1,12.06
446,aesthete,1,8,43,1,14.9
447,aesthetic,0,9,991,4,15.74
448,aesthetics,1,10,322,2,15.06
449,afar,0,4,1822,1,8.214576
450,afeard,1,6,107,1,10.86
451,affability,1,10,31,1,14.07
452,affable,0,7,175,1,13.4
453,affair,1,6,21719,3,10.94
454,affaire,1,7,37,1,11.45
455,affect,0,6,8941,6,9.6
456,affectation,1,11,133,1,13.82
457,affection,1,9,6544,1,8.53
458,affectionate,0,12,1426,1,8.5
459,affective,0,9,98,1,11.74
460,affectless,0,10,4,1,13.6
461,affiant,1,7,7,1,14
462,affidavit,1,9,973,1,15.69
463,affiliate,1,9,234,4,12
464,affiliation,1,11,348,2,12.28
465,affinity,1,8,577,7,12.22
466,affirm,0,6,453,3,12.24
467,affirmation,1,11,315,4,12.56
468,affirmative,1,11,2907,4,10.67
469,affix,0,5,84,4,11.94
470,afflict,0,7,112,2,11.5
471,affliction,1,10,807,3,11.32
472,affluence,1,9,126,1,13.88
473,affluent,0,8,394,3,13.16
474,afford,0,6,29290,4,7.47
475,affordability,1,13,21,1,10.89
476,affordable,0,10,838,1,8.15
477,affright,1,8,29,2,12.77
478,affront,1,7,472,2,12.44
479,afghan,0,6,1482,6,9.11
480,aficionado,1,10,194,2,13.86
481,afire,0,5,293,1,11.87
482,aflame,0,6,295,2,11.22
483,afloat,0,6,1117,3,9.33
484,afoot,0,5,624,3,11.475618
485,aforementioned,0,14,348,1,14.58
486,aforesaid,0,9,76,1,14.44
487,aforethought,0,12,72,1,13.72
488,afoul,1,5,102,1,11.81
489,afraid,0,6,168774,4,4.42
490,afro,1,4,531,1,9.58
491,aft,0,3,1253,2,13.8841
492,after,0,5,572761,3,5.99792
493,afterbirth,1,10,110,1,14.06
494,afterburner,1,11,33,1,10.69
495,aftercare,1,9,47,1,11.62
496,afterdeck,1,9,17,1,15.86
497,aftereffect,1,11,27,2,12.06
498,afterglow,1,9,138,2,12.53
499,afterimage,1,10,21,1,13.67
500,afterlife,1,9,2115,1,8.11
501,aftermarket,1,11,70,1,14.2
502,aftermath,1,9,862,2,12.05
503,afternoon,1,9,59466,2,4.65
504,afterschool,1,11,66,1,6.89
505,aftershave,1,10,583,1,10.42
506,aftershock,1,10,164,1,10.33
507,aftertaste,1,10,205,1,10
508,afterthought,1,12,201,2,12.78
509,afterwards,0,10,13540,1,7.711835
510,afterworld,1,10,67,1,10.41
511,again,0,5,590019,1,5.78478
512,against,0,7,165033,1,7.969465
513,agate,1,5,95,1,13
514,agave,0,5,110,1,14.57
515,age,1,3,74262,8,4.38
516,ageism,1,6,76,1,17.07
517,ageist,1,6,41,1,15.79
518,ageless,0,7,170,1,10.3
519,agency,1,8,16192,5,10.58
520,agenda,1,6,5171,2,9.95
521,agent,1,5,58608,6,9.55
522,ageratum,1,8,2,2,13.29
523,agglutinate,0,11,1,3,14.89
524,aggrandize,0,10,12,1,14.83
525,aggrandizement,1,14,12,1,14.75
526,aggravate,0,9,321,2,8.32
527,aggravated,0,10,1231,4,8.608885
528,aggravation,1,11,396,3,9.11
529,aggregate,1,9,185,7,13.67
530,aggregation,1,11,50,2,14.56
531,aggress,0,7,5,1,12.13
532,aggression,1,10,2698,5,9.3
533,aggressive,0,10,7383,3,8.32
534,aggressiveness,1,14,196,3,11.06
535,aggressor,1,9,359,2,11.47
536,aggrieved,0,9,208,2,12.38
537,aghast,0,6,126,1,12
538,agile,0,5,786,2,11.94
539,agility,1,7,497,1,10.06
540,aging,0,5,1869,6,7.35
541,agitate,0,7,257,6,10.17
542,agitated,0,8,1904,8,10.115967
543,agitation,1,9,568,5,11.5
544,agitator,1,8,241,1,11.84
545,agitprop,1,8,19,1,16.6
546,aglow,0,5,179,1,10.06
547,agnate,1,6,13,2,16.5
548,agnostic,1,8,206,4,13.8
549,ago,0,3,229751,2,7.116905
550,agog,0,4,121,1,14.73
551,agony,1,7,3642,2,9.22
552,agonist,1,7,10,4,15.06
553,agonize,0,7,112,2,11.58
554,agonizing,0,9,602,3,10.89
555,agora,1,5,182,3,13.73
556,agoraphobia,1,11,157,1,14.44
557,agoraphobic,0,11,142,1,14.64
558,agrarian,0,8,184,1,14.83
559,agree,0,5,60716,7,7.68
560,agreeable,0,9,1249,3,8.41
561,agreement,1,9,15659,6,8.16
562,agribusiness,1,12,45,1,18.07
563,agricultural,0,12,1593,2,10.11
564,agriculturalist,1,15,8,1,12.78
565,agriculture,1,11,1952,4,10.32
566,ague,1,4,54,3,15.2
567,ahead,0,5,120295,8,5.454413
568,ahoy,1,4,1465,1,7.61
569,aid,1,3,9965,6,7.33
570,aide,1,4,1583,2,7.83
571,aider,1,5,100,1,12.92
572,aids,1,4,5492,7,8.89
573,aikido,1,6,127,1,14.08
574,ail,0,3,138,3,9.71
575,aileron,1,7,24,1,14.71
576,ailing,0,6,573,3,10.63
577,ailment,1,7,548,1,10.37
578,aim,0,3,12152,11,6.72
579,aimer,1,5,60,1,9.85
580,aimless,0,7,268,2,10.32
581,air,1,3,100137,15,3.94
582,airbag,1,6,311,1,12.26
583,airbase,1,7,226,1,10.35
584,airboat,1,7,60,1,10.75
585,airborne,0,8,2162,1,9.85
586,airbrush,1,8,176,2,12.06
587,aircraft,1,8,7395,1,7.61
588,aircraftsman,1,12,7,1,11.67
589,aircrew,0,7,29,1,10.15
590,airdrome,1,8,29,1,15.11
591,airdrop,1,7,39,1,9.18
592,airfare,1,7,190,1,10.26
593,airfield,1,8,1320,1,8.6
594,airflow,1,7,126,1,12.42
595,airfoil,1,7,11,1,14.64
596,airforce,1,8,123,1,6.83
597,airhead,1,7,286,2,10.17
598,airiness,1,8,7,3,11.35
599,airless,0,7,81,1,10
600,airlift,1,7,266,2,12.06
601,airline,1,7,2833,2,8.74
602,airliner,1,8,305,1,9.89
603,airlock,1,7,981,1,11.61
604,airmail,1,7,136,3,12
605,airman,0,6,434,1,10.58043
606,airmobile,1,9,7,1,12.69
607,airplane,1,8,6520,1,3.94
608,airplay,1,7,64,1,12.93
609,airport,1,7,23293,1,6.84
610,airship,1,7,628,1,10.8
611,airsick,0,7,103,1,11.47
612,airsickness,1,11,22,1,10.17
613,airspace,1,8,745,2,11.5
614,airspeed,1,8,179,1,10.9
615,airstream,1,9,115,2,12.22
616,airstrike,1,9,56,1,12.78
617,airstrip,1,8,571,1,8.16
618,airtight,0,8,884,2,9.84
619,airtime,1,7,170,1,11.78
620,airwave,1,7,14,1,11.35
621,airway,1,6,1063,4,11.16
622,airworthy,0,9,13,1,13.31
623,airy,0,4,399,4,10.28
624,aisle,1,5,3933,3,5.95
625,ajar,0,4,375,1,9.67
626,aka,0,3,2090,1,10.94
627,akimbo,1,6,89,2,14.09
628,akin,0,4,465,2,12.67
629,alabaster,1,9,286,4,13.67
630,alacrity,1,8,78,1,15.25
631,alarm,1,5,27116,6,6.39
632,alarming,0,8,1192,3,9.78
633,alarmist,1,8,133,1,13.12
634,alarum,1,6,29,1,12.38
635,alas,0,4,3967,3,9.781155
636,albacore,1,8,59,2,14.47
637,albatross,1,9,665,2,11.64
638,albinism,1,8,12,1,14.17
639,albino,1,6,713,1,9.79
640,album,1,5,10199,2,6.72
641,albumin,1,7,47,1,14.2
642,alcalde,1,7,35,1,11
643,alchemical,0,10,71,1,15.64
644,alchemist,1,9,660,1,12
645,alchemy,1,7,817,2,13.35
646,alcohol,1,7,16625,2,9
647,alcoholic,1,9,4973,3,9.95
648,alcoholism,1,10,670,2,11.6
649,alcove,1,6,276,1,12.11
650,alder,1,5,231,2,14.08
651,alderman,1,8,964,1,14.19
652,ale,1,3,2815,1,10.16
653,alehouse,1,8,48,1,13.76
654,aleph,1,5,35,1,13.7
655,alert,0,5,15747,7,8.9
656,alertness,1,9,95,3,9.44
657,alexandrine,1,11,107,1,14.17
658,alfalfa,1,7,315,2,8.83
659,alfresco,1,8,66,2,15.29
660,alga,1,5,25,1,13.33
661,algebra,1,7,1171,1,11.47
662,algebraic,0,9,72,1,11.11
663,alginate,0,8,51,1,14.86
664,algorithm,1,9,2018,1,14.56
665,algorithmic,0,11,58,1,15.31
666,alias,1,5,2488,2,9.47
667,alibi,1,5,10141,3,12.5
668,alien,0,5,17513,7,7.5
669,alienate,0,8,358,3,13.05
670,alienation,1,10,322,4,13.47
671,alienist,1,8,46,1,14.07
672,aliens,1,6,8506,5,8.57773
673,alight,0,6,567,3,11.41
674,align,0,5,768,4,9.85
675,alignment,1,9,873,4,11.76
676,alike,0,5,7933,3,6.115147
677,alimentary,0,10,32,1,13.21
678,alimony,1,9,1547,1,14.47
679,alit,0,4,33,1,12.69
680,alive,0,5,122833,7,5.11
681,alkali,1,6,136,2,14.35
682,alkaline,0,8,174,1,13.68
683,alkaloid,1,8,87,1,14.06
684,alky,0,4,71,1,14.18
685,alkyd,1,5,2,1,16.62
686,all,0,3,3544700,3,4.239515
687,allay,0,5,137,2,15.77
688,allegation,1,10,797,2,11.84
689,allege,0,6,149,1,12.81
690,alleged,0,7,2878,3,12.05
691,allegiance,1,10,2271,2,8.42
692,allegiant,1,9,11,1,15.18
693,allegorical,0,11,91,1,12.41
694,allegory,1,10,234,3,14.16
695,allegro,1,7,176,4,13.07
696,allele,1,6,31,1,14.5
697,allergen,1,8,76,1,11.58
698,allergic,0,8,5956,2,7.72
699,allergy,1,9,1727,1,8.11
700,allergist,1,9,51,1,12.21
701,alleviate,0,9,563,2,11.39
702,alley,1,5,10145,2,7.26
703,alleyway,1,8,625,1,8.11
704,alliance,1,8,7944,5,11.28
705,allied,0,6,2727,6,10.85
706,ally,1,6,7195,3,9.61
707,alligator,1,9,1923,3,4.78
708,alliteration,1,12,116,1,13.86
709,alliterative,0,12,21,1,15.25
710,allocate,0,8,209,1,13.78
711,allocation,1,10,230,3,12.42
712,allocution,1,10,41,1,15.23
713,allograft,1,9,12,1,15.2
714,allot,1,5,175,3,13.67
715,allotment,1,9,371,2,13.28
716,allow,0,5,42649,10,5.32
717,allowable,0,9,65,3,9.56
718,allowance,1,9,2955,7,6.95
719,alloy,1,5,747,4,14.53
720,allude,0,6,104,1,13.11
721,allure,1,6,488,2,11.83
722,alluring,0,8,556,2,12.89
723,allusion,1,8,126,1,13.05
724,alluvial,0,8,34,1,16.78
725,almanac,1,7,330,2,10.58
726,almandine,0,9,10,2,17.22
727,almightiness,1,12,2,1,8.89
728,almighty,0,8,6170,2,8.47
729,almond,1,6,1293,2,7.67
730,almost,0,6,148405,1,5.46507
731,alms,1,4,955,1,9.91
732,almshouse,1,9,28,1,17.8
733,aloe,1,4,295,1,8.95
734,aloft,0,5,460,4,9.823783
735,aloha,1,5,1298,1,10.15
736,alone,0,5,240475,6,4.94
737,aloneness,1,9,35,1,9.06
738,along,0,5,128220,5,5.411785
739,aloof,0,5,566,2,13.41
740,alopecia,1,8,117,1,17.92
741,aloud,0,5,1613,2,6.221717
742,alp,1,3,105,1,11.77
743,alpaca,1,6,195,3,10.81
744,alpha,1,5,10093,4,12.22
745,alphabet,1,8,1725,2,4.22
746,alphabetical,0,12,492,2,6.26
747,alphabetize,0,11,75,2,7.11
748,alphanumeric,0,12,55,1,13
749,alpine,0,6,715,3,11.28
750,alright,0,7,116629,4,6.275002
751,also,0,4,259803,1,6.63734
